Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
52,Exit long,2026-05-12 16:45,session 4:45,102.13,2,20332,84,0.41,207,1.02,-109,-0.54,1847,0.18,88
52,Entry long,2026-05-12 09:25,L,101.66,2,20332,84,0.41,207,1.02,-109,-0.54,1847,0.18,88
53,Exit short,2026-05-13 03:40,flip,101.08,4,40780,328,0.80,550,1.35,-94,-0.23,2175,0.22,99
53,Entry short,2026-05-12 19:25,S,101.95,4,40780,328,0.80,550,1.35,-94,-0.23,2175,0.22,99
54,Exit long,2026-05-13 16:45,session 4:45,100.83,2,20216,-60,-0.30,515,2.55,-83,-0.41,2115,0.21,157
54,Entry long,2026-05-13 03:40,L,101.08,2,20216,-60,-0.30,515,2.55,-83,-0.41,2115,0.21,157
55,Exit long,2026-05-14 08:55,flip,100.35,1,10165,-135,-1.33,17.5,0.17,-229.5,-2.26,1980,0.20,45
55,Entry long,2026-05-14 05:10,L,101.65,1,10165,-135,-1.33,17.5,0.17,-229.5,-2.26,1980,0.20,45
56,Exit short,2026-05-14 11:55,flip,100.98,1,10035,-68,-0.68,16.5,0.16,-143.5,-1.43,1912,0.19,36
56,Entry short,2026-05-14 08:55,S,100.35,1,10035,-68,-0.68,16.5,0.16,-143.5,-1.43,1912,0.19,36
57,Exit long,2026-05-14 16:45,session 4:45,102.06,2,20196,206,1.02,237,1.17,-153,-0.76,2118,0.21,58
57,Entry long,2026-05-14 11:55,L,100.98,2,20196,206,1.02,237,1.17,-153,-0.76,2118,0.21,58
58,Exit short,2026-05-15 07:55,flip,100.04,3,29475,-552,-1.87,22.5,0.08,-814.5,-2.76,1566,0.16,99
58,Entry short,2026-05-14 23:40,S,98.25,3,29475,-552,-1.87,22.5,0.08,-814.5,-2.76,1566,0.16,99
59,Exit long,2026-05-15 10:10,flip,99.37,2,20008,-144,-0.72,27,0.13,-179,-0.89,1422,0.14,27
59,Entry long,2026-05-15 07:55,L,100.04,2,20008,-144,-0.72,27,0.13,-179,-0.89,1422,0.14,27
60,Exit short,2026-05-15 16:45,session 4:45,101.16,2,19874,-368,-1.85,27,0.14,-447,-2.25,1054,0.11,79
60,Entry short,2026-05-15 10:10,S,99.37,2,19874,-368,-1.85,27,0.14,-447,-2.25,1054,0.11,79
61,Exit short,2026-05-18 16:45,session 4:45,102.13,3,30861,207,0.67,1276.5,4.14,-706.5,-2.29,1261,0.13,166
61,Entry short,2026-05-18 02:55,S,102.87,3,30861,207,0.67,1276.5,4.14,-706.5,-2.29,1261,0.13,166
62,Exit short,2026-05-18 20:55,flip,102.51,3,30702,-66,-0.21,22.5,0.07,-76.5,-0.25,1195,0.12,3
62,Entry short,2026-05-18 20:40,S,102.34,3,30702,-66,-0.21,22.5,0.07,-76.5,-0.25,1195,0.12,3
63,Exit long,2026-05-19 16:45,session 4:45,104.12,2,20502,312,1.52,471,2.30,-63,-0.31,1507,0.15,238
63,Entry long,2026-05-18 20:55,L,102.51,2,20502,312,1.52,471,2.30,-63,-0.31,1507,0.15,238
64,Exit long,2026-05-20 01:15,flip,103.74,3,31302,-195,-0.62,28.5,0.09,-373.5,-1.19,1312,0.13,84
64,Entry long,2026-05-19 18:15,L,104.34,3,31302,-195,-0.62,28.5,0.09,-373.5,-1.19,1312,0.13,84
65,Exit short,2026-05-20 16:45,session 4:45,98.91,3,31122,1434,4.61,2065.5,6.64,-88.5,-0.28,2746,0.27,186
65,Entry short,2026-05-20 01:15,S,103.74,3,31122,1434,4.61,2065.5,6.64,-88.5,-0.28,2746,0.27,186
66,Exit long,2026-05-21 16:45,session 4:45,98.13,3,29766,-342,-1.15,1018.5,3.42,-1045.5,-3.51,2404,0.24,183
66,Entry long,2026-05-21 01:30,L,99.22,3,29766,-342,-1.15,1018.5,3.42,-1045.5,-3.51,2404,0.24,183
67,Exit short,2026-05-22 16:45,session 4:45,96.84,1,9759,70,0.72,283.5,2.90,-186.5,-1.91,2474,0.25,270
67,Entry short,2026-05-21 18:15,S,97.59,1,9759,70,0.72,283.5,2.90,-186.5,-1.91,2474,0.25,270
68,Exit short,2026-05-26 15:15,flip,93.93,2,18210,-586,-3.22,321,1.76,-733,-4.02,1888,0.19,421
68,Entry short,2026-05-25 00:40,S,91.05,2,18210,-586,-3.22,321,1.76,-733,-4.02,1888,0.19,421
69,Exit long,2026-05-26 16:40,flip,93.65,2,18786,-66,-0.35,19,0.10,-151,-0.80,1822,0.18,17
69,Entry long,2026-05-26 15:15,L,93.93,2,18786,-66,-0.35,19,0.10,-151,-0.80,1822,0.18,17
70,Exit short,2026-05-26 16:45,session 4:45,93.62,3,28095,-6,-0.02,16.5,0.06,-7.5,-0.03,1816,0.18,1
70,Entry short,2026-05-26 16:40,S,93.65,3,28095,-6,-0.02,16.5,0.06,-7.5,-0.03,1816,0.18,1
71,Exit short,2026-05-27 16:45,session 4:45,89.44,4,36776,980,2.66,1642,4.46,-126,-0.34,2796,0.28,191
71,Entry short,2026-05-27 00:50,S,91.94,4,36776,980,2.66,1642,4.46,-126,-0.34,2796,0.28,191
72,Exit long,2026-05-28 12:15,flip,89.15,2,18120,-300,-1.66,385,2.12,-725,-4.00,2496,0.25,163
72,Entry long,2026-05-27 22:40,L,90.6,2,18120,-300,-1.66,385,2.12,-725,-4.00,2496,0.25,163
73,Exit short,2026-05-28 16:45,session 4:45,88.75,1,8915,35,0.39,110.5,1.24,-51.5,-0.58,2531,0.25,54
73,Entry short,2026-05-28 12:15,S,89.15,1,8915,35,0.39,110.5,1.24,-51.5,-0.58,2531,0.25,54
74,Exit short,2026-05-29 16:45,session 4:45,87.8,2,17556,-14,-0.08,283,1.61,-257,-1.46,2517,0.25,194
74,Entry short,2026-05-29 00:35,S,87.78,2,17556,-14,-0.08,283,1.61,-257,-1.46,2517,0.25,194
75,Exit long,2026-06-01 16:45,session 4:45,92.39,4,35888,1048,2.92,2018,5.62,-198,-0.55,3565,0.36,184
75,Entry long,2026-06-01 01:25,L,89.72,4,35888,1048,2.92,2018,5.62,-198,-0.55,3565,0.36,184
76,Exit short,2026-06-02 16:45,session 4:45,93.44,2,18442,-256,-1.39,415,2.25,-363,-1.97,3309,0.33,268
76,Entry short,2026-06-01 18:25,S,92.21,2,18442,-256,-1.39,415,2.25,-363,-1.97,3309,0.33,268
77,Exit long,2026-06-03 09:00,flip,95.63,2,18986,130,0.68,409,2.15,-91,-0.48,3439,0.34,142
77,Entry long,2026-06-02 21:10,L,94.93,2,18986,130,0.68,409,2.15,-91,-0.48,3439,0.34,142
78,Exit short,2026-06-03 13:10,flip,96.15,2,19126,-114,-0.60,255,1.33,-143,-0.75,3325,0.33,50
78,Entry short,2026-06-03 09:00,S,95.63,2,19126,-114,-0.60,255,1.33,-143,-0.75,3325,0.33,50
79,Exit long,2026-06-03 16:45,session 4:45,96.35,1,9615,15,0.16,39.5,0.41,-54.5,-0.57,3340,0.33,43
79,Entry long,2026-06-03 13:10,L,96.15,1,9615,15,0.16,39.5,0.41,-54.5,-0.57,3340,0.33,43
80,Exit short,2026-06-04 03:35,flip,95.28,3,28590,-9,-0.03,151.5,0.53,-100.5,-0.35,3331,0.33,80
80,Entry short,2026-06-03 20:55,S,95.3,3,28590,-9,-0.03,151.5,0.53,-100.5,-0.35,3331,0.33,80
81,Exit long,2026-06-04 07:10,flip,94.59,2,19056,-148,-0.78,79,0.41,-249,-1.31,3183,0.32,43
81,Entry long,2026-06-04 03:35,L,95.28,2,19056,-148,-0.78,79,0.41,-249,-1.31,3183,0.32,43
82,Exit short,2026-06-04 14:25,flip,93.07,2,18918,294,1.55,533,2.82,-15,-0.08,3477,0.35,87
82,Entry short,2026-06-04 07:10,S,94.59,2,18918,294,1.55,533,2.82,-15,-0.08,3477,0.35,87
83,Exit long,2026-06-04 16:45,session 4:45,93.01,2,18614,-22,-0.12,73,0.39,-31,-0.17,3455,0.35,28
83,Entry long,2026-06-04 14:25,L,93.07,2,18614,-22,-0.12,73,0.39,-31,-0.17,3455,0.35,28
84,Exit long,2026-06-04 20:25,flip,92.71,6,55770,-174,-0.31,51,0.09,-183,-0.33,3281,0.33,9
84,Entry long,2026-06-04 19:40,L,92.95,6,55770,-174,-0.31,51,0.09,-183,-0.33,3281,0.33,9
85,Exit short,2026-06-04 21:25,flip,93.08,4,37084,-168,-0.45,62,0.17,-190,-0.51,3113,0.31,12
85,Entry short,2026-06-04 20:25,S,92.71,4,37084,-168,-0.45,62,0.17,-190,-0.51,3113,0.31,12
86,Exit long,2026-06-05 01:25,flip,93.04,3,27924,-27,-0.10,136.5,0.49,-52.5,-0.19,3086,0.31,48
86,Entry long,2026-06-04 21:25,L,93.08,3,27924,-27,-0.10,136.5,0.49,-52.5,-0.19,3086,0.31,48
87,Exit short,2026-06-05 16:45,session 4:45,90.25,4,37216,1096,2.94,1346,3.62,-286,-0.77,4182,0.42,184
87,Entry short,2026-06-05 01:25,S,93.04,4,37216,1096,2.94,1346,3.62,-286,-0.77,4182,0.42,184
88,Exit long,2026-06-08 11:40,flip,91.49,2,18712,-424,-2.27,379,2.02,-637,-3.40,3758,0.38,174
88,Entry long,2026-06-07 21:10,L,93.56,2,18712,-424,-2.27,379,2.02,-637,-3.40,3758,0.38,174
89,Exit short,2026-06-08 16:45,session 4:45,91.24,1,9149,20,0.22,70.5,0.77,-32.5,-0.36,3778,0.38,61
89,Entry short,2026-06-08 11:40,S,91.49,1,9149,20,0.22,70.5,0.77,-32.5,-0.36,3778,0.38,61
90,Exit short,2026-06-09 16:45,session 4:45,88.73,2,17804,48,0.27,609,3.42,-157,-0.88,3826,0.38,118
90,Entry short,2026-06-09 06:55,S,89.02,2,17804,48,0.27,609,3.42,-157,-0.88,3826,0.38,118
91,Exit long,2026-06-10 03:10,flip,87.85,2,17852,-292,-1.64,23,0.13,-335,-1.88,3534,0.35,63
91,Entry long,2026-06-09 21:55,L,89.26,2,17852,-292,-1.64,23,0.13,-335,-1.88,3534,0.35,63
92,Exit short,2026-06-10 16:45,session 4:45,91.68,2,17570,-776,-4.42,85,0.48,-803,-4.57,2758,0.28,163
92,Entry short,2026-06-10 03:10,S,87.85,2,17570,-776,-4.42,85,0.48,-803,-4.57,2758,0.28,163
93,Exit short,2026-06-11 16:45,session 4:45,86.41,2,17888,596,3.33,739,4.13,-415,-2.32,3354,0.34,129
93,Entry short,2026-06-11 06:00,S,89.44,2,17888,596,3.33,739,4.13,-415,-2.32,3354,0.34,129
94,Exit short,2026-06-12 16:45,session 4:45,84.28,2,17192,326,1.90,555,3.23,-265,-1.54,3680,0.37,158
